,index,accuracy_rating,allows_children,allows_infants,allows_pets,avg_rating,bathrooms,bedroom_label,bedrooms,beds,can_instant_book,cancel_policy,checkin_rating,city,cleaning_fee,cleanliness_rating,communication_rating,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,listing_url,location_rating,longitude,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,property_type_id,requires_license,response_rate,response_time,review_count,review_score,reviews_count,room_and_property_type,room_type,room_type_category,space_type,star_rating,value_rating,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,member_since
0,0,,,1.0,,4.67,0.5,Studio,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,22858494,0,0,0,Entire apartment,60.16708000000001,https://www.airbnb.com/api/v2/pdp_listing_details/22858494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93492,1125,1,0.0,2,17,$38,1.0,,100.0,within an hour,,,365,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2018-01-01
1,1,,,1.0,,4.81,1.5,1 bedroom,1.0,3.0,0,CANCEL_MODERATE,,Helsinki,0,,,0,16501244,0,0,1,Entire condominium,60.16653,https://www.airbnb.com/api/v2/pdp_listing_details/16501244?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93362,60,1,0.8,7,22,$58,37.0,,100.0,within an hour,,,327,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,,,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2013-07-01
2,3,,,1.0,,4.79,1.0,1 bedroom,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,28982354,0,0,1,Shared room,60.15867,https://www.airbnb.com/api/v2/pdp_listing_details/28982354?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.94423,6,1,0.0,3,3,$26,1.0,,89.0,within an hour,,,115,Shared room in apartment,Shared room,shared_room,Shared room,5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018-10-01
3,4,,,1.0,,,4.0,1 bedroom,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,41969547,0,1,0,Hostel beds,60.17884,https://www.airbnb.com/api/v2/pdp_listing_details/41969547?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.95787,1125,1,0.0,1,14,$24,45.0,,100.0,within an hour,,,2,Shared room in hostel,Shared room,shared_room,Hostel beds,,,,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2020-01-01
4,5,,,1.0,,,1.0,1 bedroom,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,11,,,0,42901953,0,1,0,Entire apartment,60.16563000000001,https://www.airbnb.com/api/v2/pdp_listing_details/42901953?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.92996,1125,1,0.9,4,13,$55,1.0,,100.0,within a few hours,,,1,Entire apartment,Entire home/apt,entire_home,Entire apartment,,,,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2018-05-01
5,6,,,1.0,,4.91,1.0,1 bedroom,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,0,,,0,21557494,0,0,1,Private room,60.18126,https://www.airbnb.com/api/v2/pdp_listing_details/21557494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.95034,7,1,0.0,1,6,$49,1.0,,100.0,within a few hours,,,162,Private room in apartment,Private room,private_room,Private room,5.0,,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2017-10-01
6,7,,,1.0,,4.84,1.0,Studio,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,27,,,0,32799667,0,0,1,Entire apartment,60.17029,https://www.airbnb.com/api/v2/pdp_listing_details/32799667?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.94813,1125,1,0.0,4,21,$64,1.0,,100.0,within an hour,,,138,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,,,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2018-09-01
7,8,,,1.0,,4.87,1.5,Studio,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,16,,,0,18230458,0,0,1,Entire apartment,60.17771,https://www.airbnb.com/api/v2/pdp_listing_details/18230458?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.92905,1125,1,0.9,2,12,$76,1.0,,100.0,within a few hours,,,76,Entire apartment,Entire home/apt,entire_home,Entire apartment,5.0,,,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2012-06-01
8,9,,,1.0,,4.84,1.0,Studio,0.0,2.0,0,CANCEL_MODERATE,,Helsinki,11,,,0,25500683,0,0,1,Entire condominium,60.16552,https://www.airbnb.com/api/v2/pdp_listing_details/25500683?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.93575,1125,1,0.9,3,27,$77,37.0,,90.0,within a few hours,,,93,Entire condominium,Entire home/apt,entire_home,Entire condominium,5.0,,,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2018-05-01
9,10,,,1.0,,4.72,1.0,Studio,0.0,1.0,1,CANCEL_MODERATE,,Helsinki,26,,,0,11468881,0,0,0,Entire apartment,60.16025,https://www.airbnb.com/api/v2/pdp_listing_details/11468881?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,,24.94361,1124,1,0.0,2,9,$75,1.0,,80.0,within an hour,,,503,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5,,,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2014-06-01
