,index,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,available_30,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,guest_overall_satisfaction,host_verified,id,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latest_review,latitude,listing_url,localized_city,localized_neighborhood,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,neighborhood,p3_summary_address,p3_summary_title,person_capacity,picture_count,preview_amenities,price_night,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,self_checkin,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,amenities,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,host_id,member_since
0,0,nan,1.0,1.0,0.0,,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsingfors,0,nan,nan,,0,22858494,0,0,0,Entire apartment,,60.16708000000001,https://www.airbnb.com/api/v2/pdp_listing_details/22858494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kamppi,nan,24.93492,1125,1,0.0,SPACIOUS AND SIMPLE IN THE HEART OF HELSINKI 26m2,Kamppi,,,2,17,"Wifi,Kitchen,Heating",,38,1.0,100%,,,nan,365,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,,0.9,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Shampoo, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Dishes and silverware, Refrigerator, Stove, Private entrance, Bed linens, First aid kit",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,168766970.0,2018-01-01
1,1,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,1.0,3.0,0,CANCEL_MODERATE,nan,Helsinki,0,nan,nan,,0,16501244,0,0,1,Entire condominium,,60.16653,https://www.airbnb.com/api/v2/pdp_listing_details/16501244?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,nan,24.93362,60,1,0.8,"Cozy super central 60m2 family apartment, Netflix",Kamppi,,,7,22,"Wifi,Kitchen,Heating",,58,37.0,100%,,,nan,327,Entire condominium,Entire home/apt,entire_home,,Entire condominium,4.5-5.0/5.0,nan,,0.88,8,217,"Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, High chair, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Luggage dropoff allowed, Long term stays allowed, Bed linens, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,7413291.0,2013-07-01
3,3,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,nan,Helsinki,0,nan,nan,,0,28982354,0,0,1,Shared room,,60.158669999999994,https://www.airbnb.com/api/v2/pdp_listing_details/28982354?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ullanlinna,nan,24.944229999999997,6,1,0.0,Shared apartment near the city center and the sea,Ullanlinna,,,3,3,"Wifi,Kitchen,Heating",,26,1.0,50-89%,,,nan,115,Shared room in apartment,Shared room,shared_room,,Shared room,4.5-5.0/5.0,nan,,0.0,0,0,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Shampoo, TV, Washer, Heating, Essentials, Hot water, Paid parking on premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Bed linens, Carbon monoxide alarm, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,218447582.0,2018-10-01
4,4,nan,1.0,1.0,0.0,,nan,4.0,1.0,1.0,1,CANCEL_FLEXIBLE,nan,Helsinki,0,nan,nan,,0,41969547,0,1,0,Hostel beds,,60.17884,https://www.airbnb.com/api/v2/pdp_listing_details/41969547?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kruununhaka,nan,24.95787,1125,1,0.0,№11· Hostel INNTOURIST in the CENTER of Helsinki,Kruununhaka,,,1,14,"Wifi,Heating",,24,45.0,100%,,,nan,2,Shared room in hostel,Shared room,shared_room,,Hostel beds,nan,nan,,0.0,0,0,"Wifi, Air conditioning, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Children’s books and toys, High chair, Room-darkening shades, Paid parking on premises, Coffee maker, Dishes and silverware, Microwave, Keypad, Luggage dropoff allowed, Long term stays allowed, Bed linens, Shower gel, Waterfront, Fire extinguisher, Carbon monoxide alarm, Smoke alarm, First aid kit",1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,328007351.0,2020-01-01
5,5,nan,1.0,1.0,0.0,,nan,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,nan,Helsingfors,11,nan,nan,,0,42901953,0,1,0,Entire apartment,,60.16563000000001,https://www.airbnb.com/api/v2/pdp_listing_details/42901953?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kamppi,nan,24.92996,1125,1,0.9,Beautiful apartment in the Centre Helsinki.,Kamppi,,,4,13,"Wifi,Kitchen,Free parking,Heating",,55,1.0,100%,,,nan,1,Entire apartment,Entire home/apt,entire_home,,Entire apartment,nan,nan,,0.9,0,2173,"Free parking on premises, Wifi, Kitchen, Cable TV, Hair dryer, Iron, Shampoo, TV, Washer, Heating, Essentials, Pocket wifi, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Oven, Stove, Long term stays allowed, Smoke alarm",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,190704791.0,2018-05-01
6,6,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,nan,Helsingfors,0,nan,nan,,0,21557494,0,0,1,Private room,,60.181259999999995,https://www.airbnb.com/api/v2/pdp_listing_details/21557494?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kruununhaka,nan,24.95034,7,1,0.0,A room with a view,Kruununhaka,,,1,6,"Wifi,Kitchen,Heating",,49,1.0,100%,,,nan,162,Private room in apartment,Private room,private_room,,Private room,4.5-5.0/5.0,nan,,0.0,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Washer, Hangers, Heating, Essentials, Bed linens, Extra pillows and blankets, Smoke alarm, First aid kit",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,156752215.0,2017-10-01
7,7,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,nan,Helsingfors,27,nan,nan,,0,32799667,0,0,1,Entire apartment,,60.17029,https://www.airbnb.com/api/v2/pdp_listing_details/32799667?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Kluuvi,nan,24.94813,1125,1,0.0,Cute apartment in the very heart of Helsinki,Kluuvi,,,4,21,"Wifi,Kitchen,Heating",,64,1.0,100%,,,nan,138,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,nan,,0.0,33,0,"Elevator, Wifi, Kitchen, Hair dryer, Iron, Shampoo, TV, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Ethernet connection, Hot water, Room-darkening shades, Window guards, Paid parking off premises, Coffee maker, Cooking basics, Dishes and silverware, Microwave, Refrigerator, Lockbox, Private entrance, Long term stays allowed, Bed linens, Patio or balcony, Garden or backyard, Carbon monoxide alarm, Smoke alarm, No stairs or steps to enter, Wide entrance for guests, Well-lit path to entrance, Step-free path to entrance, Wide hallways, Accessible-height bed, Step-free shower, No stairs or steps to enter",0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,213976142.0,2018-09-01
8,8,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.5,0.0,2.0,1,CANCEL_MODERATE,nan,Helsingfors,16,nan,nan,,0,18230458,0,0,1,Entire apartment,,60.17771,https://www.airbnb.com/api/v2/pdp_listing_details/18230458?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsingfors,Etu-Töölö,nan,24.92905,1125,1,0.9,"Beautiful park view, quiet and tidy apartment!",Etu-Töölö,,,2,12,"Wifi,Kitchen,Heating",,76,1.0,100%,,,nan,76,Entire apartment,Entire home/apt,entire_home,,Entire apartment,4.5-5.0/5.0,nan,,0.95,0,0,"Elevator, Wifi, Kitchen, Hair dryer, Shampoo, TV, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Cooking basics, Dishes and silverware, Refrigerator, Oven, Stove, Private entrance, Smoke alarm",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2725082.0,2012-06-01
9,9,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,2.0,0,CANCEL_MODERATE,nan,Helsinki,11,nan,nan,,0,25500683,0,0,1,Entire condominium,,60.165519999999994,https://www.airbnb.com/api/v2/pdp_listing_details/25500683?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Kamppi,nan,24.93575,1125,1,0.9,Cozy apartment in the center of Helsinki,Kamppi,,,3,27,"Wifi,Kitchen,Heating",,77,37.0,50-89%,,,nan,93,Entire condominium,Entire home/apt,entire_home,,Entire condominium,4.5-5.0/5.0,nan,,0.93,33,217,"Elevator, Wifi, Kitchen, Dryer, Hair dryer, Iron, Shampoo, Washer, Hangers, Heating, Essentials, Laptop-friendly workspace, Hot water, Coffee maker, Cooking basics, Dishes and silverware, Dishwasher, Microwave, Refrigerator, Oven, Stove, Host greets you, Private entrance, Long term stays allowed, Bed linens, Carbon monoxide alarm, Smoke alarm",0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,192444037.0,2018-05-01
10,10,nan,1.0,1.0,0.0,,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,nan,Helsinki,26,nan,nan,,0,11468881,0,0,0,Entire apartment,,60.16025,https://www.airbnb.com/api/v2/pdp_listing_details/11468881?_format=for_rooms_show&key=d306zoyjsyarp7ifhu67rjxn52tv0t20&checkin=2020-04-17&checkout=2020-04-18&adults=1,Helsinki,Ullanlinna,nan,24.94361,1124,1,0.0,Studio in the heart of Helsinki,Ullanlinna,,,2,9,"Wifi,Kitchen,Heating",,75,1.0,50-89%,,,nan,503,Entire apartment,Entire home/apt,entire_home,,Entire apartment,3.6-4.4/5.0,nan,,0.9,0,217,"Elevator, Wifi, Kitchen, Cable TV, Hair dryer, Washer, Hangers, Heating, Essentials, Paid parking off premises, Host greets you",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,17187444.0,2014-06-01
